Entity,Code,Year,Life expectancy (years)
World,OWID_WRL,1770,28.7
World,OWID_WRL,1800,28.5
World,OWID_WRL,1820,29
World,OWID_WRL,1850,29.3
World,OWID_WRL,1870,29.7
World,OWID_WRL,1900,32
World,OWID_WRL,1913,34.1
World,OWID_WRL,1950,45.733
World,OWID_WRL,1951,46.069
World,OWID_WRL,1952,46.712
World,OWID_WRL,1953,47.295
World,OWID_WRL,1954,47.82
World,OWID_WRL,1955,48.286
World,OWID_WRL,1956,48.702
World,OWID_WRL,1957,49.074
World,OWID_WRL,1958,49.418
World,OWID_WRL,1959,49.762
World,OWID_WRL,1960,50.137
World,OWID_WRL,1961,50.573
World,OWID_WRL,1962,51.098
World,OWID_WRL,1963,51.726
World,OWID_WRL,1964,52.451
World,OWID_WRL,1965,53.248
World,OWID_WRL,1966,54.075
World,OWID_WRL,1967,54.884
World,OWID_WRL,1968,55.636
World,OWID_WRL,1969,56.314
World,OWID_WRL,1970,56.911
World,OWID_WRL,1971,57.436
World,OWID_WRL,1972,57.916
World,OWID_WRL,1973,58.374
World,OWID_WRL,1974,58.818
World,OWID_WRL,1975,59.251
World,OWID_WRL,1976,59.674
World,OWID_WRL,1977,60.083
World,OWID_WRL,1978,60.475
World,OWID_WRL,1979,60.852
World,OWID_WRL,1980,61.219
World,OWID_WRL,1981,61.58
World,OWID_WRL,1982,61.937
World,OWID_WRL,1983,62.289
World,OWID_WRL,1984,62.635
World,OWID_WRL,1985,62.965
World,OWID_WRL,1986,63.27
World,OWID_WRL,1987,63.545
World,OWID_WRL,1988,63.785
World,OWID_WRL,1989,63.995
World,OWID_WRL,1990,64.18
World,OWID_WRL,1991,64.347
World,OWID_WRL,1992,64.509
World,OWID_WRL,1993,64.676
World,OWID_WRL,1994,64.857
World,OWID_WRL,1995,65.054
World,OWID_WRL,1996,65.269
World,OWID_WRL,1997,65.499
World,OWID_WRL,1998,65.743
World,OWID_WRL,1999,66.001
World,OWID_WRL,2000,66.276
World,OWID_WRL,2001,66.57
World,OWID_WRL,2002,66.885
World,OWID_WRL,2003,67.22
World,OWID_WRL,2004,67.572
World,OWID_WRL,2005,67.941
World,OWID_WRL,2006,68.327
World,OWID_WRL,2007,68.725
World,OWID_WRL,2008,69.13
World,OWID_WRL,2009,69.535
World,OWID_WRL,2010,69.934
World,OWID_WRL,2011,70.32
World,OWID_WRL,2012,70.69
World,OWID_WRL,2013,71.039
World,OWID_WRL,2014,71.364
World,OWID_WRL,2015,71.661
World,OWID_WRL,2016,71.928
World,OWID_WRL,2017,72.169
World,OWID_WRL,2018,72.386
World,OWID_WRL,2019,72.584
